orp_kod;pocet
1100;1335084
2101;61335
2102;66087
2103;115454
2104;25862
2105;152285
2106;19528
2107;23263
2108;30316
2109;126065
2110;84404
2111;32924
2112;50448
2113;29469
2114;44798
2115;113005
2116;18037
2117;32265
2118;40495
2119;31575
2120;69995
2121;55737
2122;73485
2123;21978
2124;40780
2125;25947
2126;12460
3101;13604
3102;163160
3103;41447
3104;18672
3105;46938
3106;19873
3107;18175
3108;53413
3109;33307
3110;21962
3111;45001
3112;80489
3113;19349
3114;24669
3115;14093
3116;17472
3117;11927
3201;12234
3202;40464
3203;11525
3204;14804
3205;50690
3206;22490
3207;11603
3208;58181
3209;194840
3210;22905
3211;49489
3212;23389
3213;17166
3214;24038
3215;37223
4101;17611
4102;49917
4103;87001
4104;13001
4105;23906
4106;27373
4107;74502
4201;22508
4202;76131
4203;81553
4204;43047
4205;58756
4206;36934
4207;43467
4208;27615
4209;73999
4210;15649
4211;32806
4212;32529
4213;106322
4214;118651
4215;19789
4216;27248
5101;76704
5102;24510
5103;56660
5104;21954
5105;145386
5106;26294
5107;25570
5108;20274
5109;32963
5110;12161
5201;15797
5202;20128
5203;26885
5204;18354
5205;147018
5206;19232
5207;48493
5208;25032
5209;60342
5210;13287
5211;14116
5212;17417
5213;34173
5214;63046
5215;27483
5301;17853
5302;21016
5303;18044
5304;83692
5305;8618
5306;23085
5307;27108
5308;25972
5309;132103
5310;19615
5311;25990
5312;31305
5313;26511
5314;32482
5315;29462
6101;19665
6102;53278
6103;17918
6104;21763
6105;100718
6106;22915
6107;13418
6108;19366
6109;9309
6110;45071
6111;19571
6112;12946
6113;74004
6114;36428
6115;42482
6201;57045
6202;52059
6203;382405
6204;59604
6205;16190
6206;60579
6207;36469
6208;24653
6209;23554
6210;55530
6211;20409
6212;22506
6213;14895
6214;26440
6215;24274
6216;71102
6217;31895
6218;37498
6219;52271
6220;92046
6221;33903
7101;34055
7102;37709
7103;10646
7104;15099
7105;23594
7106;18403
7107;165404
7108;97858
7109;79747
7110;24087
7111;68513
7112;22356
7113;33051
7201;15225
7202;21519
7203;68082
7204;18567
7205;33972
7206;35043
7207;89670
7208;51960
7209;23053
7210;41727
7211;17212
7212;65126
7213;98963
8101;25650
8102;33178
8103;36078
8104;25478
8105;19506
8106;112289
8107;25135
8108;85578
8109;40656
8110;22676
8111;61718
8112;40566
8113;21302
8114;39792
8115;48743
8116;16933
8117;100582
8118;36827
8119;317322
8120;15101
8121;54487
8122;13237